,kingdom,phylum,class,order,family,genus,species
b20af3944c8b7e5b6a61015c418eeefe,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces mexicanus
9fe18aa247c93fde8203ea3cad4e7d93,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,NA,Anthostomelloides,Anthostomelloides leucospermi
19aa9f02b937ba3c86a4615549822c9a,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Neocamarosporium,NA
79035edfc7c768e65b629aaece5354d9,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,Arthrinium caricicola
9c42a4264eb6d687676d2edddcc3e7c3,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium aggregatocicatricatum
d15ae341f1e033d70781442f56663d63,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces eucalypti
0898cd3b7919d12b509ac547bcb695f0,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Parafenestella,Parafenestella mackenziei
b56e932db5c8813f6db382986c6366e4,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Elasticomyces,Elasticomyces elasticus
1c6da9ecf98678026b3cd1fd77d2b1ee,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia procaviae
b565e1b5b217d6c561659af5f3f5c333,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Calvatia brasiliensis
10056b43e93b42f6c0023139cc953300,Eukaryota,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Tyrannosorus,Tyrannosorus hystrioides
68920a3af02138eedb2faf7a8e5009d1,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,NA,Vestigium,Vestigium trifidum
e8ade174a1b7347e995c6750a8ad8f11,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Meristemomyces,Meristemomyces frigidus
33f159a44b5230a56cf73248d231e63d,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,Penidiella ellipsoidea
26ab85146793a6ead415da8439027d64,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,NA
7ebcaaecd844e08bf152ce144e470fb2,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,Torula hollandica
f7d552552eb9f21176cdd0fa6d9d5d71,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,Ganoderma dianzhongense
334c6ab7fd0ea26fe7de196b4179613d,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis afrocinerea
b77e5861616ca1ca0e3298687064174a,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,Torula camporesii
5dc80cbbe278e5b0030f7f8c3595b18b,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Pseudoophiobolus,Pseudoophiobolus rosae
dc45600625ba1fff6f6d15df45e65dd8,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium aggregatocicatricatum
d641bd2fab2ef166a013168df9fd4668,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Nigrospora,Nigrospora zimmermanii
2a051547b33e82a6f8fac29282a60345,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces eucalypti
9f274fd244df7a5548d0617ff713642d,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Readeriella,Readeriella pseudocallista
cdda12e11dc233b84db3a5bda7f8e9fd,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Tricholoma forteflavescens
0401e7bd5e7017e953910fd9111f717d,Eukaryota,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces reniformis
51f3234a858870d36941907d2bc5e70f,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,Coniothyrium hakeae
7e57acb3ddee3d5531aa9322b4b1f9de,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,Tulostoma submembranaceum
26e93a4fb0129d07ad942c5f07cb154a,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,NA
0851e6457f7e9fc10804022a87573387,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,NA
bb68162b375832c23079135b447e500c,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Elasticomyces,Elasticomyces elasticus
91f431eeb50ddc9fd59f2a37aa465f4b,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium aggregatocicatricatum
256e874014fb21fae41afc597eefe0e2,Eukaryota,Ascomycota,Dothideomycetes,Dothideales,NA,Selenophoma,Selenophoma australiensis
2fe78bcd49d41faba42a9a71abedb97f,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,NA,NA
d48621c5849ee2e2201a5dd6b29d512e,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Mollisia,Mollisia monilioides
73a9d179a344136ad3d8d12fb8bd5048,Eukaryota,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Marchandiomyces,Marchandiomyces allantosporus
b6d31b94c715c8e26b5af8c5e259f867,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces mexicanus
6742c38120351ee29e0b967c6485b3ce,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,Kockovaella,Kockovaella nitrophila
b072112a6c88d21d5118e9604cf5337a,Eukaryota,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,NA,Robertozyma,Robertozyma ningxiaensis
8571419e9ffeaafbef87da989aaa694c,Eukaryota,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Chaetothiersia,Chaetothiersia eguttulata
8811832ddd387d8ba4ded2463f3de427,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus ohakune
7508085a0224fe53140cd49b9ae9c984,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Juncaceicola,Juncaceicola dactylidis
101240da7d7a76996f3518f6abbecaf1,Eukaryota,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Erythrobasidium,Erythrobasidium yunnanense
301fa47dcd9804846ceebbbc449fcd8c,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,Penidiella ellipsoidea
ac19f37b13b0a4cdbba7a412b792723b,Eukaryota,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiaceae,Bannoa,Bannoa syzygii
b65fd11920f0b950ca3a1a3892fb08b0,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pseudostrickeria,Pseudostrickeria rosae
37feec10d0c50befab57244e0ceaadc1,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Juncaceicola,Juncaceicola dactylidis
1742262557f858e62071e44be474c302,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,NA,NA
d380c9cf695d802c7ecc2f5193683198,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,Penidiella ellipsoidea
ac3cd056d29f8bdc677c090a0064e835,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Bovista,Bovista psammophila
fdf0a82f4660f33eb9a116c98fc6cf5e,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Catenulostroma,Catenulostroma lignicola
82a588d6d4433f10ec45d754ddc80546,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,Penidiella ellipsoidea
